otu	accession	taxid	species	genus	family	order	class	phylum	superkingdom	path
AY005463.1.1431	AY005463	999552	Leisingera methylohalidivorans	Leisingera	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Rhodobacterales➤Roseobacteraceae➤Leisingera➤Leisingera methylohalidivorans
AY007296.1.1499	AY007296	136992	Methylomicrobium lacus	Methylomicrobium	Methylococcaceae	Methylococcales	Gammaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Gammaproteobacteria➤Methylococcales➤Methylococcaceae➤Methylomicrobium➤Methylomicrobium lacus
AY028398.1.1469	AY028398	2426	Teredinibacter turnerae	Teredinibacter	Cellvibrionaceae	Cellvibrionales	Gammaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Gammaproteobacteria➤Cellvibrionales➤Cellvibrionaceae➤Teredinibacter➤Teredinibacter turnerae
AY028926.1.1507	AY028926	157228	Jeotgalicoccus psychrophilus	Jeotgalicoccus	Staphylococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria	Bacteria➤Firmicutes➤Bacilli➤Bacillales➤Staphylococcaceae➤Jeotgalicoccus➤Jeotgalicoccus psychrophilus
AY039817.1.1413	AY039817	166954	Kaistia adipata	Kaistia	Kaistiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Kaistiaceae➤Kaistia➤Kaistia adipata
AY046268.1.1746	AY046268	45285	Eremothecium cymbalariae	Eremothecium	Saccharomycetaceae	Saccharomycetales	Saccharomycetes	Ascomycota	Eukaryota	Eukaryota➤Ascomycota➤Saccharomycetes➤Saccharomycetales➤Saccharomycetaceae➤Eremothecium➤Eremothecium cymbalariae
AY049713.1.1456	AY049713	340101	Victivallis vadensis	Victivallis	Victivallaceae	Victivallales	Lentisphaeria	Lentisphaerae	Bacteria	Bacteria➤Lentisphaerae➤Lentisphaeria➤Victivallales➤Victivallaceae➤Victivallis➤Victivallis vadensis
AY050178.1.1805	AY050178	172822	Amastigomonas bermudensis	Amastigomonas	Apusomonadidae	Apusomonadida	Unclassified Eukaryota	Unclassified Eukaryota	Eukaryota	Eukaryota➤Unclassified Eukaryota➤Unclassified Eukaryota➤Apusomonadida➤Apusomonadidae➤Amastigomonas➤Amastigomonas bermudensis
AY056830.1.1457	AY056830	177413	Ancylobacter rudongensis	Ancylobacter	Xanthobacteraceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Xanthobacteraceae➤Ancylobacter➤Ancylobacter rudongensis
AY117417.1.1863	AY117417	48483	Reclinomonas americana	Reclinomonas	Histionidae	Jakobida	Unclassified Eukaryota	Unclassified Eukaryota	Eukaryota	Eukaryota➤Unclassified Eukaryota➤Unclassified Eukaryota➤Jakobida➤Histionidae➤Reclinomonas➤Reclinomonas americana
AY117418.1.1844	AY117418	143017	Jakoba libera	Jakoba	Jakobidae	Jakobida	Unclassified Eukaryota	Unclassified Eukaryota	Eukaryota	Eukaryota➤Unclassified Eukaryota➤Unclassified Eukaryota➤Jakobida➤Jakobidae➤Jakoba➤Jakoba libera
AY117420.1.1867	AY117420	136089	Malawimonas jakobiformis	Malawimonas	Malawimonadidae	Malawimonadida	Unclassified Eukaryota	Unclassified Eukaryota	Eukaryota	Eukaryota➤Unclassified Eukaryota➤Unclassified Eukaryota➤Malawimonadida➤Malawimonadidae➤Malawimonas➤Malawimonas jakobiformis
AY136131.1.1533	AY136131	207949	Bermanella marisrubri	Bermanella	Oceanospirillaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Gammaproteobacteria➤Oceanospirillales➤Oceanospirillaceae➤Bermanella➤Bermanella marisrubri
AY149896.1.1770	AY149896	218848	Proterospongia choanojuncta	Proterospongia	Salpingoecidae	Craspedida	Choanoflagellata	Unclassified Eukaryota	Eukaryota	Eukaryota➤Unclassified Eukaryota➤Choanoflagellata➤Craspedida➤Salpingoecidae➤Proterospongia➤Proterospongia choanojuncta
AY183357.1.1506	AY183357	218823	Amycolatopsis kentuckyensis	Amycolatopsis	Pseudonocardiaceae	Pseudonocardiales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Pseudonocardiales➤Pseudonocardiaceae➤Amycolatopsis➤Amycolatopsis kentuckyensis
AY188352.1.1546	AY188352	1304	Streptococcus salivarius	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	Bacteria➤Firmicutes➤Bacilli➤Lactobacillales➤Streptococcaceae➤Streptococcus➤Streptococcus salivarius
AY189129.1.1515	AY189129	1276246	Spiroplasma culicicola	Spiroplasma	Spiroplasmataceae	Entomoplasmatales	Mollicutes	Tenericutes	Bacteria	Bacteria➤Tenericutes➤Mollicutes➤Entomoplasmatales➤Spiroplasmataceae➤Spiroplasma➤Spiroplasma culicicola
AY195836.1.1514	AY195836	391587	Kordia algicida	Kordia	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria	Bacteria➤Bacteroidetes➤Flavobacteriia➤Flavobacteriales➤Flavobacteriaceae➤Kordia➤Kordia algicida
AY207502.1.1456	AY207502	226010	Aestuariibacter salexigens	Aestuariibacter	Alteromonadaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Gammaproteobacteria➤Alteromonadales➤Alteromonadaceae➤Aestuariibacter➤Aestuariibacter salexigens
AY218567.1.1494	AY218567	77133	uncultured bacterium	Unclassified Bacteria	Unclassified Bacteria	Unclassified Bacteria	Unclassified Bacteria	Unclassified Bacteria	Bacteria	Bacteria➤Unclassified Bacteria➤Unclassified Bacteria➤Unclassified Bacteria➤Unclassified Bacteria➤Unclassified Bacteria➤uncultured bacterium
AY228479.1.1503	AY228479	225453	Yaniella halotolerans	Yaniella	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Micrococcales➤Micrococcaceae➤Yaniella➤Yaniella halotolerans
AY251644.1.1842	AY251644	4896	Schizosaccharomyces pombe	Schizosaccharomyces	Schizosaccharomycetaceae	Schizosaccharomycetales	Schizosaccharomycetes	Ascomycota	Eukaryota	Eukaryota➤Ascomycota➤Schizosaccharomycetes➤Schizosaccharomycetales➤Schizosaccharomycetaceae➤Schizosaccharomyces➤Schizosaccharomyces pombe
AY252113.1.1555	AY252113	56	Vitreoscilla stercoraria	Vitreoscilla	Neisseriaceae	Neisseriales	Betaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Betaproteobacteria➤Neisseriales➤Neisseriaceae➤Vitreoscilla➤Vitreoscilla stercoraria
AY253863.1.1510	AY253863	182640	Kribbella flavida	Kribbella	Kribbellaceae	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Propionibacteriales➤Kribbellaceae➤Kribbella➤Kribbella flavida
AY271622.1.1438	AY271622	228955	Arenibacter certesii	Arenibacter	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria	Bacteria➤Bacteroidetes➤Flavobacteriia➤Flavobacteriales➤Flavobacteriaceae➤Arenibacter➤Arenibacter certesii
AY305326.1543.3351	AY305326	330153	Perkinsus chesapeaki	Perkinsus	Perkinsidae	Perkinsida	Unclassified Perkinsozoa	Perkinsozoa	Eukaryota	Eukaryota➤Perkinsozoa➤Unclassified Perkinsozoa➤Perkinsida➤Perkinsidae➤Perkinsus➤Perkinsus chesapeaki
AY326462.1.1473	AY326462	1261	Peptostreptococcus anaerobius	Peptostreptococcus	Peptostreptococcaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Bacteria➤Firmicutes➤Clostridia➤Eubacteriales➤Peptostreptococcaceae➤Peptostreptococcus➤Peptostreptococcus anaerobius
AY331143.1.1531	AY331143	697281	Mahella australiensis	Mahella	Thermoanaerobacterales Family IV. Incertae Sedis	Thermoanaerobacterales	Clostridia	Firmicutes	Bacteria	Bacteria➤Firmicutes➤Clostridia➤Thermoanaerobacterales➤Thermoanaerobacterales Family IV. Incertae Sedis➤Mahella➤Mahella australiensis
AY345389.1.1398	AY345389	239803	bacterium L12	Unclassified Bacteria	Unclassified Bacteria	Unclassified Bacteria	Unclassified Bacteria	Unclassified Bacteria	Bacteria	Bacteria➤Unclassified Bacteria➤Unclassified Bacteria➤Unclassified Bacteria➤Unclassified Bacteria➤Unclassified Bacteria➤bacterium L12
AY387670.1.1471	AY387670	248039	Mucispirillum schaedleri	Mucispirillum	Mucispirillaceae	Deferribacterales	Deferribacteres	Deferribacteres	Bacteria	Bacteria➤Deferribacteres➤Deferribacteres➤Deferribacterales➤Mucispirillaceae➤Mucispirillum➤Mucispirillum schaedleri
AY388649.1.1360	AY388649	497964	Chthoniobacter flavus	Chthoniobacter	Chthoniobacteraceae	Chthoniobacterales	Spartobacteria	Verrucomicrobia	Bacteria	Bacteria➤Verrucomicrobia➤Spartobacteria➤Chthoniobacterales➤Chthoniobacteraceae➤Chthoniobacter➤Chthoniobacter flavus
AY462042.1.1499	AY462042	256035	Glycomyces arizonensis	Glycomyces	Glycomycetaceae	Glycomycetales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Glycomycetales➤Glycomycetaceae➤Glycomyces➤Glycomyces arizonensis
AY508462.1.1741	AY508462	5874	Theileria annulata	Theileria	Theileriidae	Piroplasmida	Aconoidasida	Apicomplexa	Eukaryota	Eukaryota➤Apicomplexa➤Aconoidasida➤Piroplasmida➤Theileriidae➤Theileria➤Theileria annulata
AY527274.1.1364	AY527274	1123237	Salipiger mucosus	Salipiger	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Rhodobacterales➤Roseobacteraceae➤Salipiger➤Salipiger mucosus
AY538171.1.1559	AY538171	264641	Desulfitibacter alkalitolerans	Desulfitibacter	Peptococcaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Bacteria➤Firmicutes➤Clostridia➤Eubacteriales➤Peptococcaceae➤Desulfitibacter➤Desulfitibacter alkalitolerans
AY538749.1.1536	AY538749	264736	Photobacterium frigidiphilum	Photobacterium	Vibrionaceae	Vibrionales	Gammaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Gammaproteobacteria➤Vibrionales➤Vibrionaceae➤Photobacterium➤Photobacterium frigidiphilum
AY546685.1.1902	AY546685	61392	Coemansia reversa	Coemansia	Kickxellaceae	Kickxellales	Kickxellomycetes	Zoopagomycota	Eukaryota	Eukaryota➤Zoopagomycota➤Kickxellomycetes➤Kickxellales➤Kickxellaceae➤Coemansia➤Coemansia reversa
AY548776.1.1567	AY548776	265470	Desulfurispora thermophila	Desulfurispora	Desulfotomaculaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Bacteria➤Firmicutes➤Clostridia➤Eubacteriales➤Desulfotomaculaceae➤Desulfurispora➤Desulfurispora thermophila
AY550102.1.1518	AY550102	33941	Geobacillus thermoleovorans	Geobacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	Bacteria➤Firmicutes➤Bacilli➤Bacillales➤Bacillaceae➤Geobacillus➤Geobacillus thermoleovorans
AY559412.1.1532	AY559412	77133	uncultured bacterium	Unclassified Bacteria	Unclassified Bacteria	Unclassified Bacteria	Unclassified Bacteria	Unclassified Bacteria	Bacteria	Bacteria➤Unclassified Bacteria➤Unclassified Bacteria➤Unclassified Bacteria➤Unclassified Bacteria➤Unclassified Bacteria➤uncultured bacterium
AY594264.1.1517	AY594264	273527	Exiguobacterium aestuarii	Exiguobacterium	Unclassified Bacillales	Bacillales	Bacilli	Firmicutes	Bacteria	Bacteria➤Firmicutes➤Bacilli➤Bacillales➤Unclassified Bacillales➤Exiguobacterium➤Exiguobacterium aestuarii
AY596469.1.1491	AY596469	194702	Cardiobacterium valvarum	Cardiobacterium	Cardiobacteriaceae	Cardiobacteriales	Gammaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Gammaproteobacteria➤Cardiobacteriales➤Cardiobacteriaceae➤Cardiobacterium➤Cardiobacterium valvarum
AY643537.1.1457	AY643537	280483	Thalassotalea loyana	Thalassotalea	Colwelliaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Gammaproteobacteria➤Alteromonadales➤Colwelliaceae➤Thalassotalea➤Thalassotalea loyana
AY649762.1.1474	AY649762	293089	Martelella mediterranea	Martelella	Aurantimonadaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Aurantimonadaceae➤Martelella➤Martelella mediterranea
AY657007.1.1777	AY657007	285111	Entoloma sinuatum	Entoloma	Entolomataceae	Agaricales	Agaricomycetes	Basidiomycota	Eukaryota	Eukaryota➤Basidiomycota➤Agaricomycetes➤Agaricales➤Entolomataceae➤Entoloma➤Entoloma sinuatum
AY671975.1.1408	AY671975	284577	Halomonas taeanensis	Halomonas	Halomonadaceae	Oceanospirillales	Gammaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Gammaproteobacteria➤Oceanospirillales➤Halomonadaceae➤Halomonas➤Halomonas taeanensis
AY673993.1.1473	AY673993	304766	Sedimentibacter sp. B4	Sedimentibacter	Unclassified Tissierellia	Unclassified Tissierellia	Tissierellia	Firmicutes	Bacteria	Bacteria➤Firmicutes➤Tissierellia➤Unclassified Tissierellia➤Unclassified Tissierellia➤Sedimentibacter➤Sedimentibacter sp. B4
AY682384.1.1448	AY682384	1122137	Kordiimonas gwangyangensis	Kordiimonas	Kordiimonadaceae	Kordiimonadales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Kordiimonadales➤Kordiimonadaceae➤Kordiimonas➤Kordiimonas gwangyangensis
AY705952.1.1797	AY705952	181676	Schizophyllum radiatum	Schizophyllum	Schizophyllaceae	Agaricales	Agaricomycetes	Basidiomycota	Eukaryota	Eukaryota➤Basidiomycota➤Agaricomycetes➤Agaricales➤Schizophyllaceae➤Schizophyllum➤Schizophyllum radiatum
AY742226.1.1523	AY742226	294710	Proteiniphilum acetatigenes	Proteiniphilum	Dysgonomonadaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria	Bacteria➤Bacteroidetes➤Bacteroidia➤Bacteroidales➤Dysgonomonadaceae➤Proteiniphilum➤Proteiniphilum acetatigenes
AY753654.1.1485	AY753654	296745	Caldalkalibacillus thermarum	Caldalkalibacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	Bacteria➤Firmicutes➤Bacilli➤Bacillales➤Bacillaceae➤Caldalkalibacillus➤Caldalkalibacillus thermarum
AY762980.1.1534	AY762980	297174	Gracilibacillus sp. BH235	Gracilibacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	Bacteria➤Firmicutes➤Bacilli➤Bacillales➤Bacillaceae➤Gracilibacillus➤Gracilibacillus sp. BH235
AY780907.1.1491	AY780907	314202	Giesbergeria kuznetsovii	Giesbergeria	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Betaproteobacteria➤Burkholderiales➤Comamonadaceae➤Giesbergeria➤Giesbergeria kuznetsovii
AY788950.1.1491	AY788950	391165	Granulibacter bethesdensis	Granulibacter	Acetobacteraceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Rhodospirillales➤Acetobacteraceae➤Granulibacter➤Granulibacter bethesdensis
AY835420.1.1448	AY835420	115547	uncultured archaeon	Unclassified Archaea	Unclassified Archaea	Unclassified Archaea	Unclassified Archaea	Unclassified Archaea	Archaea	Archaea➤Unclassified Archaea➤Unclassified Archaea➤Unclassified Archaea➤Unclassified Archaea➤Unclassified Archaea➤uncultured archaeon
AY837748.1.1498	AY837748	336804	Thorsellia anophelis	Thorsellia	Thorselliaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Gammaproteobacteria➤Enterobacterales➤Thorselliaceae➤Thorsellia➤Thorsellia anophelis
AY883937.1.1474	AY883937	311208	Gaetbulibacter saemankumensis	Gaetbulibacter	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria	Bacteria➤Bacteroidetes➤Flavobacteriia➤Flavobacteriales➤Flavobacteriaceae➤Gaetbulibacter➤Gaetbulibacter saemankumensis
AY943950.1.1793	AY943950	317953	Phlebia sp. DABAC9	Phlebia	Meruliaceae	Polyporales	Agaricomycetes	Basidiomycota	Eukaryota	Eukaryota➤Basidiomycota➤Agaricomycetes➤Polyporales➤Meruliaceae➤Phlebia➤Phlebia sp. DABAC9
AY962414.1.1799	AY962414	153512	Helobdella fusca	Helobdella	Glossiphoniidae	Rhynchobdellida	Clitellata	Annelida	Eukaryota	Eukaryota➤Annelida➤Clitellata➤Rhynchobdellida➤Glossiphoniidae➤Helobdella➤Helobdella fusca
AYLG01000001.49867.51409	AYLG01000001	1245608	Marinimicrobia bacterium JGI 0000113-D11	Unclassified Candidatus Marinimicrobia	Unclassified Candidatus Marinimicrobia	Unclassified Candidatus Marinimicrobia	Unclassified Candidatus Marinimicrobia	Candidatus Marinimicrobia	Bacteria	Bacteria➤Candidatus Marinimicrobia➤Unclassified Candidatus Marinimicrobia➤Unclassified Candidatus Marinimicrobia➤Unclassified Candidatus Marinimicrobia➤Unclassified Candidatus Marinimicrobia➤Marinimicrobia bacterium JGI 0000113-D11
AYLI01000329.16498.17954	AYLI01000329	1412871	uncultured archaeon A07HR67	Unclassified Archaea	Unclassified Archaea	Unclassified Archaea	Unclassified Archaea	Unclassified Archaea	Archaea	Archaea➤Unclassified Archaea➤Unclassified Archaea➤Unclassified Archaea➤Unclassified Archaea➤Unclassified Archaea➤uncultured archaeon A07HR67
AYLJ01000015.6614.8072	AYLJ01000015	1412872	uncultured archaeon A07HB70	Unclassified Archaea	Unclassified Archaea	Unclassified Archaea	Unclassified Archaea	Unclassified Archaea	Archaea	Archaea➤Unclassified Archaea➤Unclassified Archaea➤Unclassified Archaea➤Unclassified Archaea➤Unclassified Archaea➤uncultured archaeon A07HB70
AYLK01000292.9273.10729	AYLK01000292	1412873	uncultured archaeon A07HN63	Unclassified Archaea	Unclassified Archaea	Unclassified Archaea	Unclassified Archaea	Unclassified Archaea	Archaea	Archaea➤Unclassified Archaea➤Unclassified Archaea➤Unclassified Archaea➤Unclassified Archaea➤Unclassified Archaea➤uncultured archaeon A07HN63
AYLL01000252.31846.33305	AYLL01000252	1412874	uncultured archaeon A07HR60	Unclassified Archaea	Unclassified Archaea	Unclassified Archaea	Unclassified Archaea	Unclassified Archaea	Archaea	Archaea➤Unclassified Archaea➤Unclassified Archaea➤Unclassified Archaea➤Unclassified Archaea➤Unclassified Archaea➤uncultured archaeon A07HR60
AYMB01000008.96097.97593	AYMB01000008	1410574	uncultured Acidilobus sp. CIS	Acidilobus	Acidilobaceae	Acidilobales	Thermoprotei	Crenarchaeota	Archaea	Archaea➤Crenarchaeota➤Thermoprotei➤Acidilobales➤Acidilobaceae➤Acidilobus➤uncultured Acidilobus sp. CIS
AYOD01000070.271.1739	AYOD01000070	1381123	Aliihoeflea sp. 2WW	Aliihoeflea	Phyllobacteriaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Phyllobacteriaceae➤Aliihoeflea➤Aliihoeflea sp. 2WW
AZHW01000045.7.1521	AZHW01000045	1429438	Candidatus Entotheonella factor	Candidatus Entotheonella	Unclassified Candidatus Tectomicrobia	Unclassified Candidatus Tectomicrobia	Unclassified Candidatus Tectomicrobia	Candidatus Tectomicrobia	Bacteria	Bacteria➤Candidatus Tectomicrobia➤Unclassified Candidatus Tectomicrobia➤Unclassified Candidatus Tectomicrobia➤Unclassified Candidatus Tectomicrobia➤Candidatus Entotheonella➤Candidatus Entotheonella factor
AZNU01000004.217712.219220	AZNU01000004	1089548	Thermicanus aegyptius	Thermicanus	Bacillales Family X. Incertae Sedis	Bacillales	Bacilli	Firmicutes	Bacteria	Bacteria➤Firmicutes➤Bacilli➤Bacillales➤Bacillales Family X. Incertae Sedis➤Thermicanus➤Thermicanus aegyptius
AZSO01000079.3872.5417	AZSO01000079	1437444	Hydrogenophaga sp. T4	Hydrogenophaga	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Betaproteobacteria➤Burkholderiales➤Comamonadaceae➤Hydrogenophaga➤Hydrogenophaga sp. T4
AZXQ01000006.90100.91714	AZXQ01000006	979226	Cohnella panacarvi	Cohnella	Paenibacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	Bacteria➤Firmicutes➤Bacilli➤Bacillales➤Paenibacillaceae➤Cohnella➤Cohnella panacarvi
AZYG01000049.26827.28341	AZYG01000049	926692	Halonatronum saccharophilum	Halonatronum	Halobacteroidaceae	Halanaerobiales	Clostridia	Firmicutes	Bacteria	Bacteria➤Firmicutes➤Clostridia➤Halanaerobiales➤Halobacteroidaceae➤Halonatronum➤Halonatronum saccharophilum
BA000021.136582.138132	BA000021	36870	Wigglesworthia glossinidia	Wigglesworthia	Erwiniaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Gammaproteobacteria➤Enterobacterales➤Erwiniaceae➤Wigglesworthia➤Wigglesworthia glossinidia
BA000028.2353644.2355210	BA000028	221109	Oceanobacillus iheyensis	Oceanobacillus	Bacillaceae	Bacillales	Bacilli	Firmicutes	Bacteria	Bacteria➤Firmicutes➤Bacilli➤Bacillales➤Bacillaceae➤Oceanobacillus➤Oceanobacillus iheyensis
BA000039.2335243.2336733	BA000039	197221	Thermosynechococcus vestitus	Thermosynechococcus	Thermosynechococcaceae	Pseudanabaenales	Unclassified Cyanobacteria	Cyanobacteria	Bacteria	Bacteria➤Cyanobacteria➤Unclassified Cyanobacteria➤Pseudanabaenales➤Thermosynechococcaceae➤Thermosynechococcus➤Thermosynechococcus vestitus
BA000045.1571231.1572715	BA000045	251221	Gloeobacter violaceus	Gloeobacter	Gloeobacteraceae	Gloeobacterales	Gloeobacteria	Cyanobacteria	Bacteria	Bacteria➤Cyanobacteria➤Gloeobacteria➤Gloeobacterales➤Gloeobacteraceae➤Gloeobacter➤Gloeobacter violaceus
BAGZ01000028.3708.5222	BAGZ01000028	1184607	Austwickia chelonae	Austwickia	Dermatophilaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Micrococcales➤Dermatophilaceae➤Austwickia➤Austwickia chelonae
BAHD01000131.114.1637	BAHD01000131	1184609	Kineosphaera limosa	Kineosphaera	Dermatophilaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Micrococcales➤Dermatophilaceae➤Kineosphaera➤Kineosphaera limosa
BAUP01000039.7497.8974	BAUP01000039	1427503	Holospora elegans	Holospora	Holosporaceae	Holosporales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Holosporales➤Holosporaceae➤Holospora➤Holospora elegans
BAYY01000283.3055.4588	BAYY01000283	1499966	Candidatus Moduliflexus flocculans	Candidatus Moduliflexus	Unclassified Bacteria	Unclassified Bacteria	Unclassified Bacteria	Unclassified Bacteria	Bacteria	Bacteria➤Unclassified Bacteria➤Unclassified Bacteria➤Unclassified Bacteria➤Unclassified Bacteria➤Candidatus Moduliflexus➤Candidatus Moduliflexus flocculans
BX294149.206764.208278	BX294149	243090	Rhodopirellula baltica	Rhodopirellula	Pirellulaceae	Pirellulales	Planctomycetia	Planctomycetes	Bacteria	Bacteria➤Planctomycetes➤Planctomycetia➤Pirellulales➤Pirellulaceae➤Rhodopirellula➤Rhodopirellula baltica
BX571657.136191.137670	BX571657	844	Oxalobacter formigenes	Oxalobacter	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Betaproteobacteria➤Burkholderiales➤Oxalobacteraceae➤Oxalobacter➤Oxalobacter formigenes
BX571873.277164.278708	BX571873	243265	Photorhabdus laumondii	Photorhabdus	Morganellaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Gammaproteobacteria➤Enterobacterales➤Morganellaceae➤Photorhabdus➤Photorhabdus laumondii
BX842650.295616.297109	BX842650	264462	Bdellovibrio bacteriovorus	Bdellovibrio	Bdellovibrionaceae	Bdellovibrionales	Oligoflexia	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Oligoflexia➤Bdellovibrionales➤Bdellovibrionaceae➤Bdellovibrio➤Bdellovibrio bacteriovorus
CAEN01000062.3382.4895	CAEN01000062	1034346	Dielma fastidiosa	Dielma	Erysipelotrichaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes	Bacteria	Bacteria➤Firmicutes➤Erysipelotrichia➤Erysipelotrichales➤Erysipelotrichaceae➤Dielma➤Dielma fastidiosa
CAEU01000072.81.1610	CAEU01000072	1033739	Kurthia massiliensis	Kurthia	Planococcaceae	Bacillales	Bacilli	Firmicutes	Bacteria	Bacteria➤Firmicutes➤Bacilli➤Bacillales➤Planococcaceae➤Kurthia➤Kurthia massiliensis
CAIT01000009.1963020.1964514	CAIT01000009	1185876	Fibrisoma limi	Fibrisoma	Spirosomaceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria	Bacteria➤Bacteroidetes➤Cytophagia➤Cytophagales➤Spirosomaceae➤Fibrisoma➤Fibrisoma limi
CAIZ01000036.11767.13274	CAIZ01000036	1193181	Phycicoccus elongatus	Phycicoccus	Intrasporangiaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria	Bacteria➤Actinobacteria➤Actinomycetia➤Micrococcales➤Intrasporangiaceae➤Phycicoccus➤Phycicoccus elongatus
CALK01000057.3384.4901	CALK01000057	1211819	Holdemania massiliensis	Holdemania	Erysipelotrichaceae	Erysipelotrichales	Erysipelotrichia	Firmicutes	Bacteria	Bacteria➤Firmicutes➤Erysipelotrichia➤Erysipelotrichales➤Erysipelotrichaceae➤Holdemania➤Holdemania massiliensis
CAQP01000054.954.2478	CAQP01000054	1286308	Lysobacter antibioticus	Lysobacter	Xanthomonadaceae	Xanthomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Gammaproteobacteria➤Xanthomonadales➤Xanthomonadaceae➤Lysobacter➤Lysobacter antibioticus
CAVN010000111.123517.125031	CAVN010000111	941824	Thermobrachium celere	Thermobrachium	Clostridiaceae	Eubacteriales	Clostridia	Firmicutes	Bacteria	Bacteria➤Firmicutes➤Clostridia➤Eubacteriales➤Clostridiaceae➤Thermobrachium➤Thermobrachium celere
CCXY01000234.9028.10480	CCXY01000234	717931	groundwater metagenome	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified➤Unclassified➤Unclassified➤Unclassified➤Unclassified➤Unclassified➤groundwater metagenome
