accession	taxid	species	genus	family	order	class	phylum	superkingdom	path
LT841305	160808	Acidithiobacillus ferrivorans	Acidithiobacillus	Acidithiobacillaceae	Acidithiobacillales	Acidithiobacillia	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Acidithiobacillia➤Acidithiobacillales➤Acidithiobacillaceae➤Acidithiobacillus➤Acidithiobacillus ferrivorans
KC493561	1303026	Thermithiobacillus sp. JNU-2	Thermithiobacillus	Thermithiobacillaceae	Acidithiobacillales	Acidithiobacillia	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Acidithiobacillia➤Acidithiobacillales➤Thermithiobacillaceae➤Thermithiobacillus➤Thermithiobacillus sp. JNU-2
CP002396	573065	Asticcacaulis excentricus	Asticcacaulis	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Caulobacterales➤Caulobacteraceae➤Asticcacaulis➤Asticcacaulis excentricus
CP002102	633149	Brevundimonas subvibrioides	Brevundimonas	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Caulobacterales➤Caulobacteraceae➤Brevundimonas➤Brevundimonas subvibrioides
JX968034	155892	Caulobacter vibrioides	Caulobacter	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Caulobacterales➤Caulobacteraceae➤Caulobacter➤Caulobacter vibrioides
AEWF01000006	985867	Candidatus Odyssella thessalonicensis	Candidatus Odyssella	Candidatus Paracaedibacteraceae	Holosporales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Holosporales➤Candidatus Paracaedibacteraceae➤Candidatus Odyssella➤Candidatus Odyssella thessalonicensis
BAUP01000039	1427503	Holospora elegans	Holospora	Holosporaceae	Holosporales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Holosporales➤Holosporaceae➤Holospora➤Holospora elegans
FR733717	1120956	Afifella pfennigii	Afifella	Afifellaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Afifellaceae➤Afifella➤Afifella pfennigii
ARFW01000012	1120961	Ahrensia kielensis	Ahrensia	Ahrensiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Ahrensiaceae➤Ahrensia➤Ahrensia kielensis
ATXK01000033	1121027	Aurantimonas coralicida	Aurantimonas	Aurantimonadaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Aurantimonadaceae➤Aurantimonas➤Aurantimonas coralicida
U53824	287752	Aurantimonas manganoxydans	Aurantimonas	Aurantimonadaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Aurantimonadaceae➤Aurantimonas➤Aurantimonas manganoxydans
DQ883810	1121028	Aureimonas ureilytica	Aureimonas	Aurantimonadaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Aurantimonadaceae➤Aureimonas➤Aureimonas ureilytica
AATP01000002	314231	Fulvimarina pelagi	Fulvimarina	Aurantimonadaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Aurantimonadaceae➤Fulvimarina➤Fulvimarina pelagi
AY649762	293089	Martelella mediterranea	Martelella	Aurantimonadaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Aurantimonadaceae➤Martelella➤Martelella mediterranea
FN645454	696125	Bartonella clarridgeiae	Bartonella	Bartonellaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Bartonellaceae➤Bartonella➤Bartonella clarridgeiae
CP001016	395963	Beijerinckia indica	Beijerinckia	Beijerinckiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Beijerinckiaceae➤Beijerinckia➤Beijerinckia indica
AJ278726	395964	Methylocapsa acidiphila	Methylocapsa	Beijerinckiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Beijerinckiaceae➤Methylocapsa➤Methylocapsa acidiphila
CP001280	395965	Methylocella silvestris	Methylocella	Beijerinckiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Beijerinckiaceae➤Methylocella➤Methylocella silvestris
ARWA01000001	876269	Methyloferula stellata	Methyloferula	Beijerinckiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Beijerinckiaceae➤Methyloferula➤Methyloferula stellata
AB012760	75685	alpha proteobacterium MBIC3366	Unclassified Beijerinckiaceae	Beijerinckiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Beijerinckiaceae➤Unclassified Beijerinckiaceae➤alpha proteobacterium MBIC3366
DQ440827	378405	Bosea sp. CRIB-12	Bosea	Boseaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Boseaceae➤Bosea➤Bosea sp. CRIB-12
CP022205	29459	Brucella melitensis	Brucella	Brucellaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Brucellaceae➤Brucella➤Brucella melitensis
KR029273	1718145	Brucellaceae bacterium mixed culture J12-68	Unclassified Brucellaceae	Brucellaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Brucellaceae➤Unclassified Brucellaceae➤Brucellaceae bacterium mixed culture J12-68
CP012398	1702325	Chelatococcus sp. CO-6	Chelatococcus	Chelatococcaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Chelatococcaceae➤Chelatococcus➤Chelatococcus sp. CO-6
AUCR01000008	422296	Cucumibacter marinus	Cucumibacter	Devosiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Devosiaceae➤Cucumibacter➤Cucumibacter marinus
JX392051	1228055	Devosia nanyangense	Devosia	Devosiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Devosiaceae➤Devosia➤Devosia nanyangense
CP021330	454601	Maritalea myrionectae	Maritalea	Devosiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Devosiaceae➤Maritalea➤Maritalea myrionectae
JX131369	1029756	Hyphomicrobium nitrativorans	Hyphomicrobium	Hyphomicrobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Hyphomicrobiaceae➤Hyphomicrobium➤Hyphomicrobium nitrativorans
AY039817	166954	Kaistia adipata	Kaistia	Kaistiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Kaistiaceae➤Kaistia➤Kaistia adipata
FP103042	661410	Methylorubrum extorquens	Methylorubrum	Methylobacteriaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Methylobacteriaceae➤Methylorubrum➤Methylorubrum extorquens
KM200559	412392	uncultured Microvirga sp.	Microvirga	Methylobacteriaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Methylobacteriaceae➤Microvirga➤uncultured Microvirga sp.
HE956757	187303	Methylocystis sp. SC2	Methylocystis	Methylocystaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Methylocystaceae➤Methylocystis➤Methylocystis sp. SC2
ARWB01000001	1101190	Methylopila sp. M107	Methylopila	Methylocystaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Methylocystaceae➤Methylopila➤Methylopila sp. M107
FR798964	980563	Methylosinus sp. R-45379	Methylosinus	Methylocystaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Methylocystaceae➤Methylosinus➤Methylosinus sp. R-45379
U87759	883078	Afipia broomeae	Afipia	Nitrobacteraceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Nitrobacteraceae➤Afipia➤Afipia broomeae
AYOD01000070	1381123	Aliihoeflea sp. 2WW	Aliihoeflea	Phyllobacteriaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Phyllobacteriaceae➤Aliihoeflea➤Aliihoeflea sp. 2WW
JAGL01000083	935261	Aminobacter sp. J41	Aminobacter	Phyllobacteriaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Phyllobacteriaceae➤Aminobacter➤Aminobacter sp. J41
Y15403	69279	Aquamicrobium defluvii	Aquamicrobium	Phyllobacteriaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Phyllobacteriaceae➤Aquamicrobium➤Aquamicrobium defluvii
AJ786600	288436	Hoeflea alexandrii	Hoeflea	Phyllobacteriaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Phyllobacteriaceae➤Hoeflea➤Hoeflea alexandrii
JN867363	1104747	Mesorhizobium sp. enrichment culture clone TMX-35	Mesorhizobium	Phyllobacteriaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Phyllobacteriaceae➤Mesorhizobium➤Mesorhizobium sp. enrichment culture clone TMX-35
AF534573	1231185	Nitratireductor aquibiodomus	Nitratireductor	Phyllobacteriaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Phyllobacteriaceae➤Nitratireductor➤Nitratireductor aquibiodomus
AJ968697	327852	Phyllobacterium sp. ORS 1420	Phyllobacterium	Phyllobacteriaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Phyllobacteriaceae➤Phyllobacterium➤Phyllobacterium sp. ORS 1420
AB159680	261934	Pleomorphomonas oryzae	Pleomorphomonas	Pleomorphomonadaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Pleomorphomonadaceae➤Pleomorphomonas➤Pleomorphomonas oryzae
AM177497	247	Agrobacterium tumefaciens	Agrobacterium	Rhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Rhizobiaceae➤Agrobacterium➤Agrobacterium tumefaciens
CP007239	1416753	Ensifer adhaerens	Ensifer	Rhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Rhizobiaceae➤Ensifer➤Ensifer adhaerens
CP006604	1261131	Candidatus Liberibacter americanus	Liberibacter	Rhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Rhizobiaceae➤Liberibacter➤Candidatus Liberibacter americanus
JN558651	1076926	Rhizobium laguerreae	Rhizobium	Rhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Rhizobiaceae➤Rhizobium➤Rhizobium laguerreae
U50168	73526	Rhizobium sp. CJ5	Rhizobium	Rhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Rhizobiaceae➤Rhizobium➤Rhizobium sp. CJ5
CP002740	698936	Sinorhizobium meliloti	Sinorhizobium	Rhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Rhizobiaceae➤Sinorhizobium➤Sinorhizobium meliloti
ATVH01000016	570952	Fodinicurvata sediminis	Fodinicurvata	Rhodovibrionaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Rhodovibrionaceae➤Fodinicurvata➤Fodinicurvata sediminis
X87278	1085	Rhodovibrio salinarum	Rhodovibrio	Rhodovibrionaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Rhodovibrionaceae➤Rhodovibrio➤Rhodovibrio salinarum
AUBC01000058	1123229	Salinarimonas rosea	Salinarimonas	Salinarimonadaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Salinarimonadaceae➤Salinarimonas➤Salinarimonas rosea
CP013068	121719	Pannonibacter phragmitetus	Pannonibacter	Stappiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Stappiaceae➤Pannonibacter➤Pannonibacter phragmitetus
AF513441	197461	Pseudovibrio exalbescens	Pseudovibrio	Stappiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Stappiaceae➤Pseudovibrio➤Pseudovibrio exalbescens
AB681109	187304	Roseibium aggregatum	Roseibium	Stappiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Stappiaceae➤Roseibium➤Roseibium aggregatum
LT629784	1881061	Stappia sp. ES.058	Stappia	Stappiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Stappiaceae➤Stappia➤Stappia sp. ES.058
AY056830	177413	Ancylobacter rudongensis	Ancylobacter	Xanthobacteraceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Xanthobacteraceae➤Ancylobacter➤Ancylobacter rudongensis
AP009384	438753	Azorhizobium caulinodans	Azorhizobium	Xanthobacteraceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomicrobiales➤Xanthobacteraceae➤Azorhizobium➤Azorhizobium caulinodans
AQXT01000002	1121949	Henriciella marina	Henriciella	Hyphomonadaceae	Hyphomonadales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomonadales➤Hyphomonadaceae➤Henriciella➤Henriciella marina
CP001678	582402	Hirschia baltica	Hirschia	Hyphomonadaceae	Hyphomonadales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomonadales➤Hyphomonadaceae➤Hirschia➤Hirschia baltica
CP000158	228405	Hyphomonas neptunium	Hyphomonas	Hyphomonadaceae	Hyphomonadales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Hyphomonadales➤Hyphomonadaceae➤Hyphomonas➤Hyphomonas neptunium
AY682384	1122137	Kordiimonas gwangyangensis	Kordiimonas	Kordiimonadaceae	Kordiimonadales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Kordiimonadales➤Kordiimonadaceae➤Kordiimonas➤Kordiimonas gwangyangensis
CP000471	156889	Magnetococcus marinus	Magnetococcus	Magnetococcaceae	Magnetococcales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Magnetococcales➤Magnetococcaceae➤Magnetococcus➤Magnetococcus marinus
CP000449	394221	Maricaulis maris	Maricaulis	Maricaulaceae	Maricaulales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Maricaulales➤Maricaulaceae➤Maricaulis➤Maricaulis maris
ATUP01000002	1122613	Oceanicaulis alexandrii	Oceanicaulis	Maricaulaceae	Maricaulales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Maricaulales➤Maricaulaceae➤Oceanicaulis➤Oceanicaulis alexandrii
AJ578476	240237	Woodsholea maritima	Woodsholea	Maricaulaceae	Maricaulales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Maricaulales➤Maricaulaceae➤Woodsholea➤Woodsholea maritima
AUAC01000004	1121948	Hellea balneolensis	Hellea	Robiginitomaculaceae	Maricaulales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Maricaulales➤Robiginitomaculaceae➤Hellea➤Hellea balneolensis
EF495229	437507	Robiginitomaculum antarcticum	Robiginitomaculum	Robiginitomaculaceae	Maricaulales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Maricaulales➤Robiginitomaculaceae➤Robiginitomaculum➤Robiginitomaculum antarcticum
AF180468	1122218	Neomegalonema perideroedes	Neomegalonema	Neomegalonemataceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Rhodobacterales➤Neomegalonemataceae➤Neomegalonema➤Neomegalonema perideroedes
HM050420	765699	Allgaiera indica	Allgaiera	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Rhodobacterales➤Rhodobacteraceae➤Allgaiera➤Allgaiera indica
AUCM01000052	1121271	Gemmobacter nectariphilus	Gemmobacter	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Rhodobacterales➤Rhodobacteraceae➤Gemmobacter➤Gemmobacter nectariphilus
DQ342315	366616	Haematobacter missouriensis	Haematobacter	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Rhodobacterales➤Rhodobacteraceae➤Haematobacter➤Haematobacter missouriensis
AF139992	59779	Paracoccus marcusii	Paracoccus	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Rhodobacterales➤Rhodobacteraceae➤Paracoccus➤Paracoccus marcusii
DQ120728	1121479	Pseudodonghicola xiamenensis	Pseudodonghicola	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Rhodobacterales➤Rhodobacteraceae➤Pseudodonghicola➤Pseudodonghicola xiamenensis
ATVN01000030	1123027	Pseudorhodobacter ferrugineus	Pseudorhodobacter	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Rhodobacterales➤Rhodobacteraceae➤Pseudorhodobacter➤Pseudorhodobacter ferrugineus
FJ232451	571166	Sedimentitalea nanhaiensis	Sedimentitalea	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Rhodobacterales➤Rhodobacteraceae➤Sedimentitalea➤Sedimentitalea nanhaiensis
HE590855	1454373	Actibacterium mucosum	Actibacterium	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Rhodobacterales➤Roseobacteraceae➤Actibacterium➤Actibacterium mucosum
CP004393	1208324	Celeribacter indicus	Celeribacter	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Rhodobacterales➤Roseobacteraceae➤Celeribacter➤Celeribacter indicus
KY770248	1960284	Citreicella sp.	Citreicella	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Rhodobacterales➤Roseobacteraceae➤Citreicella➤Citreicella sp.
CP000830	398580	Dinoroseobacter shibae	Dinoroseobacter	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Rhodobacterales➤Roseobacteraceae➤Dinoroseobacter➤Dinoroseobacter shibae
CP000264	290400	Jannaschia sp. CCS1	Jannaschia	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Rhodobacterales➤Roseobacteraceae➤Jannaschia➤Jannaschia sp. CCS1
CP012908	92945	Ketogulonicigenium vulgare	Ketogulonicigenium	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Rhodobacterales➤Roseobacteraceae➤Ketogulonicigenium➤Ketogulonicigenium vulgare
AY005463	999552	Leisingera methylohalidivorans	Leisingera	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Rhodobacterales➤Roseobacteraceae➤Leisingera➤Leisingera methylohalidivorans
AONI01000015	1123360	Litoreibacter arenae	Litoreibacter	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Rhodobacterales➤Roseobacteraceae➤Litoreibacter➤Litoreibacter arenae
JQ327964	291430	uncultured Loktanella sp.	Loktanella	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Rhodobacterales➤Roseobacteraceae➤Loktanella➤uncultured Loktanella sp.
KF924609	561184	Mameliella alba	Mameliella	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Rhodobacterales➤Roseobacteraceae➤Mameliella➤Mameliella alba
AJ748748	282199	Nereida ignava	Nereida	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Rhodobacterales➤Roseobacteraceae➤Nereida➤Nereida ignava
AAOT01000021	314256	Oceanicola granulosus	Oceanicola	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Rhodobacterales➤Roseobacteraceae➤Oceanicola➤Oceanicola granulosus
JQEY01000008	1530186	Palleronia rufa	Palleronia	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Rhodobacterales➤Roseobacteraceae➤Palleronia➤Palleronia rufa
CYSG01000002	1712645	Phaeobacter sp. CECT 5382	Phaeobacter	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Rhodobacterales➤Roseobacteraceae➤Phaeobacter➤Phaeobacter sp. CECT 5382
AAMV01000002	314264	Roseovarius sp. 217	Roseovarius	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Rhodobacterales➤Roseobacteraceae➤Roseovarius➤Roseovarius sp. 217
AJ844281	295419	Rubellimicrobium thermophilum	Rubellimicrobium	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Rhodobacterales➤Roseobacteraceae➤Rubellimicrobium➤Rubellimicrobium thermophilum
DQ915627	81569	Ruegeria atlantica	Ruegeria	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Rhodobacterales➤Roseobacteraceae➤Ruegeria➤Ruegeria atlantica
AY527274	1123237	Salipiger mucosus	Salipiger	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Rhodobacterales➤Roseobacteraceae➤Salipiger➤Salipiger mucosus
AUIJ01000005	1123247	Sediminimonas qiaohouensis	Sediminimonas	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria	Bacteria	Bacteria➤Proteobacteria➤Alphaproteobacteria➤Rhodobacterales➤Roseobacteraceae➤Sediminimonas➤Sediminimonas qiaohouensis
